510,Optimal Routing,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,4.49 ,0.00 ,0,88,0,0,66,0,5,0,8,9,0
724,Reverse,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,6.78 ,0.00 ,0,883,0,0,703,0,4,0,65,110,1
1294,Mini-Spreadsheet,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,4.38 ,0.00 ,0,79,0,15,23,0,31,0,7,3,0
1552,Interactive Permutation Guessing,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,4.65 ,0.00 ,0,104,0,0,41,0,25,0,27,11,0
1570,Accelerator,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,4.22 ,0.00 ,0,67,0,0,18,0,26,0,20,3,0
12731,Mysterious Space Station,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,2.77 ,0.00 ,0,15,0,0,8,0,1,0,0,6,0
12734,Guess the String,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,4.74 ,0.00 ,0,113,0,0,46,0,28,8,25,6,0
12736,Guess the Convex Polygon,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,3.91 ,0.00 ,0,49,0,0,1,0,11,0,37,0,0
12738,Explore the Dune,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,1.95 ,0.00 ,0,6,0,0,0,0,1,0,3,2,0
12740,Stone Age,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,3.50 ,0.00 ,0,32,0,0,23,0,7,0,0,2,0
12867,Mesh Cutter,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,1.61 ,0.00 ,0,4,0,0,4,0,0,0,0,0,0
13238,Just More Permutations,12.0000 ,5.0000 ,5.0000 ,5.0000 ,0.00 ,2.56 ,0.00 ,0,12,0,0,6,0,5,0,1,0,0
788,One Day Tours,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,3.61 ,0.69 ,1,36,1,0,27,0,3,0,3,2,0
867,Storing Images in a Sequence,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,4.17 ,0.69 ,1,64,1,33,15,0,5,0,3,6,1
875,Monopoly,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,3.97 ,0.69 ,1,52,1,0,41,0,2,0,6,2,0
1140,Charles Fr&eacute;d&eacute;ric Gros,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,2.77 ,0.69 ,1,15,1,0,5,0,3,0,4,2,0
11304,Difussing Nuclear Bombs on Planet X,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,3.87 ,0.69 ,1,47,1,0,28,0,8,0,3,7,0
11771,Dhaka Bots,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,5.89 ,0.69 ,1,359,1,0,202,0,135,0,16,5,0
12739,Xmas Gift,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,3.78 ,0.69 ,1,43,1,0,2,0,32,0,7,1,0
13199,Circles in Ellipse,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,1.39 ,0.69 ,1,3,1,0,1,0,1,0,0,0,0
13220,Delicious Binary Strings,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,1.79 ,0.69 ,1,5,1,0,4,0,0,0,0,0,0
13224,Hobbit's Resistor Graphs,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,1.61 ,0.69 ,1,4,1,0,3,0,0,0,0,0,0
13225,Incredible Sums,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,3.81 ,0.69 ,1,44,1,0,39,0,1,0,1,2,0
13232,Do Pillars Again,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,1.61 ,0.69 ,1,4,1,0,3,0,0,0,0,0,0
13239,Kid's Simple Puzzle Problem,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,2.89 ,0.69 ,1,17,1,0,13,0,1,0,1,1,0
13240,Looking at Divisors,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,4.29 ,0.69 ,1,72,1,0,48,0,21,0,2,0,0
13264,Easy Tiling Problem,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,1.79 ,0.69 ,1,5,1,0,0,0,4,0,0,0,0
13265,Finding Paths,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,2.94 ,0.69 ,1,18,1,0,4,0,11,0,1,1,0
13266,Great Coin Game,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,3.47 ,0.69 ,1,31,1,0,19,0,8,0,3,0,0
13267,Half the Polygon,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,1.39 ,0.69 ,1,3,1,0,2,0,0,0,0,0,0
13268,Interesting Resister Graph,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,1.61 ,0.69 ,1,4,1,0,3,0,0,0,0,0,0
13269,Journey through Gridland,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,2.94 ,0.69 ,1,18,1,0,13,0,4,0,0,0,0
13270,Kid's Spiral Problem,11.3069 ,4.7048 ,4.6534 ,4.9365 ,0.69 ,0.69 ,0.69 ,1,1,1,0,0,0,0,0,0,0,0
13263,Determinant Fun,11.1447 ,4.6358 ,4.5723 ,4.9172 ,0.69 ,3.00 ,1.10 ,1,19,2,0,2,0,10,0,5,0,0
528,The Problem of Train Setout,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,4.87 ,1.10 ,2,129,2,0,77,0,18,2,15,4,11
1159,BlindFold,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,3.56 ,1.10 ,2,34,2,0,21,0,4,0,5,2,0
1270,Paint the Map,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,3.61 ,1.10 ,2,36,2,21,6,0,3,0,2,2,0
1271,Bangle,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,2.30 ,1.10 ,2,9,2,0,5,0,0,0,0,2,0
1274,Color Ropes,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,1.39 ,1.10 ,2,3,2,0,1,0,0,0,0,0,0
1278,Princess and Hero,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,3.56 ,1.10 ,2,34,2,0,18,0,3,0,5,6,0
1460,Game Simulator,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,2.40 ,1.10 ,2,10,2,0,5,0,2,0,0,1,0
1507,Shadow,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,1.79 ,1.10 ,2,5,2,0,2,0,0,0,0,1,0
1690,Find a Minor,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,2.89 ,1.10 ,2,17,2,0,0,0,11,0,0,1,3
11939,Landing Navigation,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,2.77 ,1.10 ,2,15,2,1,12,0,0,0,0,0,0
12021,Universal Elections,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,4.88 ,1.10 ,2,130,2,11,84,0,25,0,5,2,1
12990,Walk Around The Campsite,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,2.83 ,1.10 ,2,16,2,0,6,0,4,0,4,0,0
13219,Cats and Vets,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,3.81 ,1.10 ,2,44,2,1,38,0,0,0,2,1,0
13223,Graph Colorings,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,2.64 ,1.10 ,2,13,2,0,4,0,1,0,5,1,0
13260,Alice's Travels II,10.9014 ,4.5322 ,4.4507 ,4.8802 ,1.10 ,1.95 ,1.10 ,2,6,2,0,2,0,1,0,0,1,0
236,VTAS - Vessel Traffic Advisory Service,10.7863 ,4.4832 ,4.3932 ,4.8630 ,1.10 ,5.43 ,1.39 ,2,228,3,0,174,0,6,0,17,23,5
13226,Just Pentagon Perimeter,10.7863 ,4.4832 ,4.3932 ,4.8630 ,1.10 ,2.56 ,1.39 ,2,12,3,0,5,0,4,0,0,0,0
